Sample_name,Conc_in_mg_per_mL,uL_LB,uL_sample,uL_Lysis_buff
Sample_1,2.25,10,22.2,17.8
Sample_2,3.53,10,14.2,25.8
Sample_3,3.48,10,14.4,25.6
Sample_4,3.27,10,15.3,24.7
Sample_5,3.91,10,12.8,27.2
